Nummer;Veröffentlichungs-Nummer;Anmeldedatum;Anmelder/Inhaber;Titel;PDF URL;Recherchierbarer Text URL
1;AT000000513417A1;18.09.2012;"CEBRAT GERFRIED DIPL ING, AT";[DE] Endlos produzierte im Rastermaß ablängbare Dünnschicht Fotovoltaik-Paneele;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=AT000000513417A1;
2;AT000000012227U1;01.12.2009;"CARLO GAVAZZI SERVICES AG, CH";[DE] STEUERUNGSVORRICHTUNG FÜR FOTOVOLTAIK-MODULE;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=AT000000012227U1;
3;DE212010000121U1;25.08.2010;"Saint-Gobain Glass France, Courbevoie, FR";[DE] System zur Montage von Fotovoltaik-Modulen;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=DE212010000121U1;https://depatisnet.dpma.de/DepatisNet/depatisnet?window=1&space=main&content=treffer&action=textpdf&docid=DE212010000121U1
4;DE202012009812U1;13.10.2012;"Hahn, Harald, 96328, Küps, DE";[DE] Fotovoltaik mit Lageenergie. Die Erfindung beschreibt, wie überschüssiger Solarstrom in potenzielle Energie umgewandelt werden kann (z.B. Sommer) und diese im (z.B. Winter) mit einem Generator zur ...;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=DE202012009812U1;https://depatisnet.dpma.de/DepatisNet/depatisnet?window=1&space=main&content=treffer&action=textpdf&docid=DE202012009812U1
5;DE202012008658U1;10.09.2012;"Schmitt, Peter, 67688, Rodenbach, DE";[DE] Vorrichtung zur direkten Wassererwärmung mittels Fotovoltaik;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=DE202012008658U1;https://depatisnet.dpma.de/DepatisNet/depatisnet?window=1&space=main&content=treffer&action=textpdf&docid=DE202012008658U1
6;DE202012005864U1;14.06.2012;"Bauer, Gerhard, 97944, Boxberg, DE";[DE] Fotovoltaik-Energiespeicher;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=DE202012005864U1;https://depatisnet.dpma.de/DepatisNet/depatisnet?window=1&space=main&content=treffer&action=textpdf&docid=DE202012005864U1
7;DE202011052119U1;28.11.2011;"SCHÜCO International KG, 33609, Bielefeld, DE";[DE] Modulrahmen für ein Fotovoltaik- oder Solarmodul;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=DE202011052119U1;https://depatisnet.dpma.de/DepatisNet/depatisnet?window=1&space=main&content=treffer&action=textpdf&docid=DE202011052119U1
8;DE202011003896U1;02.03.2011;"Glaswerke Arnold GmbH & Co. KG, 73630, Remshalden, DE";[DE] Glasscheiben-Anordnung mit gebäudeintegriertem Fotovoltaik-Modul;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=DE202011003896U1;https://depatisnet.dpma.de/DepatisNet/depatisnet?window=1&space=main&content=treffer&action=textpdf&docid=DE202011003896U1
9;DE202010011414U1;09.02.2010;"Emmert, Markus, 86477 Adelsried, DE";[DE] Steuerung für Fotovoltaik-Anlagen;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=DE202010011414U1;https://depatisnet.dpma.de/DepatisNet/depatisnet?window=1&space=main&content=treffer&action=textpdf&docid=DE202010011414U1
10;DE202010002902U1;26.02.2010;"COLEXON Energy AG, 22767 Hamburg, DE";[DE] Tragkonstruktion zur Aufständerung von Fotovoltaik-Modulen auf einem Flachdach;https://depatisnet.dpma.de/DepatisNet/depatisnet?action=pdf&docid=DE202010002902U1;https://depatisnet.dpma.de/DepatisNet/depatisnet?window=1&space=main&content=treffer&action=textpdf&docid=DE202010002902U1
